language,code,folder,sub_folder,encoding
Bulgarian,bg_BG,bg_BG,bg_BG,utf_8
Croatian,hr_HR,hr_HR,hr_HR,iso-8859-2
Czech,cs_CZ,cs_CZ,cs_CZ,iso-8859-2
Danish,da_DK,da_DK,da_DK,iso-8859-1
Dutch,nl_NL,nl_NL,nl_NL,iso-8859-1
English,en_GB,en,en_GB,iso-8859-1
Estonian,et_EE,et_EE,et_EE,iso-8859-15
French,fr_FR,fr_FR,fr,iso-8859-15
German,de_DE,de,de_DE_frami,iso-8859-1
Greek,el_GR,el_GR,el_GR,iso-8859-7
Hungarian,hu_HU,hu_HU,hu_HU,utf_8
Italian,it_IT,it_IT,it_IT,iso-8859-15
Latvian,lv_LV,lv_LV,lv_LV,iso-8859-13
Lithuanian,lt_LT,lt_LT,lt,iso-8859-13
Polish,pl_PL,pl_PL,pl_PL,iso-8859-2
Portuguese,pt_PT,pt_PT,pt_PT,iso-8859-1
Romanian,ro_RO,ro,ro_RO,iso-8859-2
Slovak,sk_SK,sk_SK,sk_SK,iso-8859-2
Slovenian,sl_SI,sl_SI,sl_SI,iso-8859-2
Spanish,es_ES,es,es_ES,iso-8859-1
Swedish,sv_SE,sv_SE,sv_SE,iso-8859-1
Russian,ru_RU,ru_RU,ru_RU,utf_8
Ukrainian,uk_UA,uk_UA,uk_UA,utf_8
Turkish,tr_TR,tr_TR,tr_TR,utf_8
Serbian,sr_SR,sr,sr,utf_8
Norwegian1,nb_NO,no,nb_NO,iso-8859-1
Norwegian2,nn_NO,no,nn_NO,iso-8859-1
Albanian,sq_AL,sq_AL,sq_AL,utf_8
Bosnian,bs_BA,bs_BA,bs_BA,iso-8859-16
Icelandic,is_IC,is,is,iso-8859-1
Belarusian,be_BY,be_BY,be_BY,utf_8
